Gmt time,Open,High,Low,Close,Volume
26.01.2019 00:00:00.000,3498,3498,3498,3498,0
27.01.2019 00:00:00.000,3496,3502,3418,3472,0.401
28.01.2019 00:00:00.000,3472,3475,3321,3370,1.1735
29.01.2019 00:00:00.000,3370,3379,3285,3335,1.0765
30.01.2019 00:00:00.000,3335,3400,3313,3376,0.8857
31.01.2019 00:00:00.000,3376,3413,3337,3352,0.8297
01.02.2019 00:00:00.000,3352,3397,3313,3390,0.8123
02.02.2019 00:00:00.000,3390,3390,3390,3390,0
03.02.2019 00:00:00.000,3407,3411,3327,3355,0.5586
04.02.2019 00:00:00.000,3355,3377,3336,3351,0.662
05.02.2019 00:00:00.000,3351,3371,3339,3370,0.4959
06.02.2019 00:00:00.000,3370,3385,3278,3306,0.8874
07.02.2019 00:00:00.000,3306,3322,3293,3300,0.7725
08.02.2019 00:00:00.000,3299,3651,3285,3533,0.9436
09.02.2019 00:00:00.000,3533,3533,3533,3533,0
10.02.2019 00:00:00.000,3564,3597,3519,3589,0.4251
11.02.2019 00:00:00.000,3589,3592,3520,3531,0.8278
12.02.2019 00:00:00.000,3531,3559,3491,3527,0.966
13.02.2019 00:00:00.000,3528,3569,3501,3516,0.9174
14.02.2019 00:00:00.000,3516,3530,3477,3501,55.0737
15.02.2019 00:00:00.000,3501,3557,3487,3504,110.7074
16.02.2019 00:00:00.000,3504,3504,3504,3504,0
17.02.2019 00:00:00.000,3521,3605,3496,3565,47.6827
18.02.2019 00:00:00.000,3565,3857,3557,3809,559.663
19.02.2019 00:00:00.000,3810,3911,3783,3830,395.2357
20.02.2019 00:00:00.000,3830,3904,3806,3877,275.4734
21.02.2019 00:00:00.000,3878,3927,3809,3840,258.9017
22.02.2019 00:00:00.000,3840,3896,3826,3881,183.3763
23.02.2019 00:00:00.000,3881,3881,3881,3881,0
24.02.2019 00:00:00.000,3725,3726,3669,3674,69.74
25.02.2019 00:00:00.000,3674,3800,3670,3758,445.0629
26.02.2019 00:00:00.000,3758,3769,3706,3736,214.3143
27.02.2019 00:00:00.000,3739,3763,3600,3739,214.8581
28.02.2019 00:00:00.000,3739,3826,3707,3731,243.4675
01.03.2019 00:00:00.000,3732,3784,3731,3769,133.3613
02.03.2019 00:00:00.000,3769,3769,3769,3769,0
03.03.2019 00:00:00.000,3751,3758,3702,3728,29.9001
04.03.2019 00:00:00.000,3728,3746,3613,3639,268.1407
05.03.2019 00:00:00.000,3639,3812,3633,3785,248.243
06.03.2019 00:00:00.000,3785,3832,3751,3792,178.8435
07.03.2019 00:00:00.000,3792,3830,3770,3797,208.3616
08.03.2019 00:00:00.000,3796,3851,3789,3807,190.7619
09.03.2019 00:00:00.000,3807,3807,3807,3807,0
10.03.2019 00:00:00.000,3856,3857,3811,3839,11.5043
11.03.2019 00:00:00.000,3839,3853,3761,3791,176.1822
12.03.2019 00:00:00.000,3791,3817,3739,3801,186.0176
13.03.2019 00:00:00.000,3801,3813,3768,3791,127.7262
14.03.2019 00:00:00.000,3791,3841,3725,3795,139.4493
15.03.2019 00:00:00.000,3795,3849,3788,3838,126.6285
16.03.2019 00:00:00.000,3838,3838,3838,3838,0
17.03.2019 00:00:00.000,3930,3931,3874,3905,7.5458
18.03.2019 00:00:00.000,3905,3957,3875,3910,167.2084
19.03.2019 00:00:00.000,3910,3952,3890,3939,169.9586
20.03.2019 00:00:00.000,3941,3987,3904,3972,194.4018
21.03.2019 00:00:00.000,3972,3997,3862,3914,134.2345
22.03.2019 00:00:00.000,3914,3944,3907,3918,0.8898
23.03.2019 00:00:00.000,3918,3918,3918,3918,0
24.03.2019 00:00:00.000,3927,3927,3890,3909,0.5202
25.03.2019 00:00:00.000,3909,3922,3804,3848,1.0403
26.03.2019 00:00:00.000,3848,3871,3827,3861,1.9964
27.03.2019 00:00:00.000,3861,3981,3859,3967,0.8344
28.03.2019 00:00:00.000,3967,3971,3939,3953,0.6175
29.03.2019 00:00:00.000,3952,4046,3952,4014,0.5103
30.03.2019 00:00:00.000,4014,4014,4014,4014,0
31.03.2019 00:00:00.000,4039,4046,4021,4039,0.7884
01.04.2019 00:00:00.000,4039,4093,4000,4082,1.5149
02.04.2019 00:00:00.000,4082,5027,4078,4846,25.315
03.04.2019 00:00:00.000,4846,5289,4756,4917,74.9931
04.04.2019 00:00:00.000,4917,5016,4732,4850,40.3613
05.04.2019 00:00:00.000,4850,5010,4828,4940,43.354
06.04.2019 00:00:00.000,4940,4940,4940,4940,0
07.04.2019 00:00:00.000,4985,5202,4973,5137,17.0992
08.04.2019 00:00:00.000,5138,5290,5076,5231,128.2925
09.04.2019 00:00:00.000,5232,5232,5093,5134,83.6721
10.04.2019 00:00:00.000,5134,5403,5108,5264,68.8109
11.04.2019 00:00:00.000,5265,5286,4918,4984,167.882
12.04.2019 00:00:00.000,4983,5058,4864,4984,107.0865
13.04.2019 00:00:00.000,4984,4984,4984,4984,0
14.04.2019 00:00:00.000,5006,5126,4958,5105,9.7416
15.04.2019 00:00:00.000,5105,5132,4892,4974,26.306
16.04.2019 00:00:00.000,4975,5172,4960,5146,28.7038
17.04.2019 00:00:00.000,5146,5211,5129,5169,35.0033
18.04.2019 00:00:00.000,5169,5260,5166,5223,20.1574
19.04.2019 00:00:00.000,5224,5296,5141,5210,23.191
20.04.2019 00:00:00.000,5210,5210,5210,5210,0
21.04.2019 00:00:00.000,5261,5287,5167,5240,7.2358
22.04.2019 00:00:00.000,5240,5379,5197,5329,43.0778
23.04.2019 00:00:00.000,5328,5564,5306,5477,87.5676
24.04.2019 00:00:00.000,5474,5563,5319,5385,151.3537
25.04.2019 00:00:00.000,5384,5453,4931,5075,90.1294
26.04.2019 00:00:00.000,5074,5226,4989,5037,99.5299
27.04.2019 00:00:00.000,5037,5037,5037,5037,0
28.04.2019 00:00:00.000,5113,5154,5048,5098,0.5595
29.04.2019 00:00:00.000,5098,5131,5027,5092,39.377
30.04.2019 00:00:00.000,5091,5228,5072,5213,13.384
01.05.2019 00:00:00.000,5213,5298,5210,5264,29.817
02.05.2019 00:00:00.000,5264,5364,5251,5330,39.8802
03.05.2019 00:00:00.000,5331,5738,5313,5629,86.588
04.05.2019 00:00:00.000,5629,5629,5629,5629,0
05.05.2019 00:00:00.000,5709,5719,5613,5655,90.8967
06.05.2019 00:00:00.000,5655,5698,5507,5630,291.5392
07.05.2019 00:00:00.000,5630,5910,5630,5689,22.5388
08.05.2019 00:00:00.000,5689,5929,5605,5886,20.3855
09.05.2019 00:00:00.000,5886,6113,5876,6094,24.4803
10.05.2019 00:00:00.000,6094,6370,6050,6231,24.2103
11.05.2019 00:00:00.000,6231,6231,6231,6231,0
12.05.2019 00:00:00.000,7161,7523,6714,6919,11.1005
13.05.2019 00:00:00.000,6919,8104,6810,7763,136.0418
14.05.2019 00:00:00.000,7763,8279,7568,7935,175.5737
15.05.2019 00:00:00.000,7935,8244,7784,8146,110.0652
16.05.2019 00:00:00.000,8146,8330,7609,7823,56.0433
17.05.2019 00:00:00.000,7823,7883,6537,7044,127.4629
18.05.2019 00:00:00.000,7044,7044,7044,7044,0
19.05.2019 00:00:00.000,7203,8239,7195,8140,16.4057
20.05.2019 00:00:00.000,8139,8139,7522,7945,139.0438
21.05.2019 00:00:00.000,7945,8054,7728,7895,71.3522
22.05.2019 00:00:00.000,7895,7983,7468,7569,74.4343
23.05.2019 00:00:00.000,7568,7924,7422,7822,98.9714
24.05.2019 00:00:00.000,7822,8122,7742,8057,65.1272
25.05.2019 00:00:00.000,8057,8057,8057,8057,0
26.05.2019 00:00:00.000,8009,8720,7836,8683,41.7906
27.05.2019 00:00:00.000,8683,8885,8608,8716,232.9861
28.05.2019 00:00:00.000,8716,8759,8510,8662,90.1157
29.05.2019 00:00:00.000,8662,8699,8374,8606,59.6349
30.05.2019 00:00:00.000,8606,9026,7973,8219,139.1552
31.05.2019 00:00:00.000,8219,8457,8055,8447,112.4165
01.06.2019 00:00:00.000,8447,8447,8447,8447,0
02.06.2019 00:00:00.000,8497,8775,8492,8679,6.5183
03.06.2019 00:00:00.000,8679,8684,8013,8053,95.6444
04.06.2019 00:00:00.000,8053,8053,7385,7614,166.2697
05.06.2019 00:00:00.000,7613,7866,7522,7730,84.8981
06.06.2019 00:00:00.000,7730,7813,7403,7746,59.2362
07.06.2019 00:00:00.000,7746,8074,7706,7842,59.4361
08.06.2019 00:00:00.000,7842,7842,7842,7842,0
09.06.2019 00:00:00.000,7872,7904,7456,7579,13.0188
10.06.2019 00:00:00.000,7579,8024,7468,7960,115.5166
11.06.2019 00:00:00.000,7960,7997,7658,7861,51.0907
12.06.2019 00:00:00.000,7861,8216,7766,8116,80.0787
13.06.2019 00:00:00.000,8117,8274,8005,8178,50.195
14.06.2019 00:00:00.000,8179,8411,8125,8394,54.7589
15.06.2019 00:00:00.000,8394,8394,8394,8394,0
16.06.2019 00:00:00.000,8800,9329,8746,8919,11.2037
17.06.2019 00:00:00.000,8920,9417,8918,9275,277.9848
18.06.2019 00:00:00.000,9275,9299,8876,9024,131.2904
19.06.2019 00:00:00.000,9022,9262,8980,9221,80.9248
20.06.2019 00:00:00.000,9221,9541,9158,9475,77.2704
21.06.2019 00:00:00.000,9475,9896,9475,9881,144.1006
22.06.2019 00:00:00.000,9881,9881,9881,9881,0
23.06.2019 00:00:00.000,10607,11187,10435,10773,96.4759
24.06.2019 00:00:00.000,10771,11036,10493,10974,880.8326
25.06.2019 00:00:00.000,10974,11732,10951,11697,731.5238
26.06.2019 00:00:00.000,11697,13797,11619,12875,896.9659
27.06.2019 00:00:00.000,12875,13288,10250,11096,1226.8969
28.06.2019 00:00:00.000,11095,12342,10708,12160,931.1501
29.06.2019 00:00:00.000,12160,12160,12160,12160,0
30.06.2019 00:00:00.000,11810,12140,10601,10699,117.5822
01.07.2019 00:00:00.000,10699,11141,9933,10523,1308.9375
02.07.2019 00:00:00.000,10522,10865,9601,10777,1102.6666
03.07.2019 00:00:00.000,10777,11957,10776,11919,1149.476
04.07.2019 00:00:00.000,11919,11996,11012,11090,839.5052
05.07.2019 00:00:00.000,11090,11382,10721,10977,658.7554
06.07.2019 00:00:00.000,10977,10977,10977,10977,0
07.07.2019 00:00:00.000,11180,11560,11036,11418,52.3682
08.07.2019 00:00:00.000,11419,12336,11276,12243,833.2642
09.07.2019 00:00:00.000,12243,12769,12073,12509,966.6685
10.07.2019 00:00:00.000,12509,13132,11504,12039,945.9136
11.07.2019 00:00:00.000,12039,12039,10929,11290,1022.1609
12.07.2019 00:00:00.000,11290,11862,11034,11853,611.7924
13.07.2019 00:00:00.000,11853,11853,11853,11853,0
14.07.2019 00:00:00.000,11317,11406,10037,10129,90.6362
15.07.2019 00:00:00.000,10129,11019,9806,10796,1018.4037
16.07.2019 00:00:00.000,10796,10979,9311,9368,1120.7352
17.07.2019 00:00:00.000,9368,9931,9024,9643,1009.2922
18.07.2019 00:00:00.000,9643,10737,9237,10590,1097.3787
19.07.2019 00:00:00.000,10590,10715,10069,10472,849.4
20.07.2019 00:00:00.000,10472,10472,10472,10472,0
21.07.2019 00:00:00.000,10706,10775,10279,10537,58.4055
22.07.2019 00:00:00.000,10537,10627,10011,10267,686.8805
23.07.2019 00:00:00.000,10267,10268,9756,9789,659.1981
24.07.2019 00:00:00.000,9789,9855,9459,9715,516.3414
25.07.2019 00:00:00.000,9715,10125,9685,9822,422.0141
26.07.2019 00:00:00.000,9822,9836,9603,9775,292.1505
27.07.2019 00:00:00.000,9775,9775,9775,9775,0
28.07.2019 00:00:00.000,9409,9546,9063,9474,81.528
29.07.2019 00:00:00.000,9474,9658,9327,9444,490.8969
30.07.2019 00:00:00.000,9444,9706,9323,9534,442.149
31.07.2019 00:00:00.000,9534,10072,9516,10036,445.5399
01.08.2019 00:00:00.000,10035,10435,9829,10352,423.2938
02.08.2019 00:00:00.000,10352,10613,10280,10348,455.5454
03.08.2019 00:00:00.000,10348,10348,10348,10348,0
04.08.2019 00:00:00.000,10760,11026,10518,10922,65.5888
05.08.2019 00:00:00.000,10922,11891,10922,11743,819.9053
06.08.2019 00:00:00.000,11743,12261,11153,11406,600.6348
07.08.2019 00:00:00.000,11406,12087,11334,11918,799.7935
08.08.2019 00:00:00.000,11918,11996,11420,11932,640.6039
09.08.2019 00:00:00.000,11932,11976,11601,11806,389.7851
10.08.2019 00:00:00.000,11806,11806,11806,11806,0
11.08.2019 00:00:00.000,11223,11524,11046,11484,34.1566
12.08.2019 00:00:00.000,11484,11495,11176,11331,291.3932
13.08.2019 00:00:00.000,11331,11384,10692,10801,335.6816
14.08.2019 00:00:00.000,10801,10801,9847,9964,422.2925
15.08.2019 00:00:00.000,9964,10385,9427,10242,535.0126
16.08.2019 00:00:00.000,10242,10482,9693,10337,594.1295
17.08.2019 00:00:00.000,10337,10337,10337,10337,0
18.08.2019 00:00:00.000,10157,10449,10009,10262,44.1851
19.08.2019 00:00:00.000,10262,10876,10216,10865,442.8463
20.08.2019 00:00:00.000,10866,10894,10509,10711,441.2981
21.08.2019 00:00:00.000,10712,10745,9810,10071,528.2567
22.08.2019 00:00:00.000,10070,10177,9704,10057,666.3038
23.08.2019 00:00:00.000,10057,10413,9993,10304,473.6595
24.08.2019 00:00:00.000,10304,10304,10304,10304,0
25.08.2019 00:00:00.000,10088,10281,9850,10083,51.8669
